timestamp_s,drone0_x,drone0_y,drone0_z,drone0_vx,drone0_vy,drone0_vz,drone1_x,drone1_y,drone1_z,drone1_vx,drone1_vy,drone1_vz,drone2_x,drone2_y,drone2_z,drone2_vx,drone2_vy,drone2_vz
11.316,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
11.817,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
12.318,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
12.819,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
13.320,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
13.821,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
14.322,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
14.823,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
15.324,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
15.825,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
16.326,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
16.827,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
17.328,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
17.829,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
18.330,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
18.831,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
19.332,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
19.833,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
20.334,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
20.835,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
21.336,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
21.837,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
22.338,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
22.839,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
23.340,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
23.841,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
24.342,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
24.843,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
25.344,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
25.845,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
26.346,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
26.847,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
27.348,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
27.849,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
28.350,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
